ФИО,Название,Жанр,"Год издания",Тираж,"Для младшего возраста","Для среднего возраста","Для старшего возраста",Примечания,"Место издания",Пол
"Ермаков, А.","После уроков",Рассказы,1965,10,,,,,Сыктывкар,м
"Ермолаев, Ю.","Важные пустяки",Рассказы,1964,100,1,,,,Москва,м
"Ермолаев, Ю.","Можете нас поздравить!",Повесть,1965,100,1,,,,Москва,м
"Ермолаев, Ю.","106 пропавших часов",Повесть,1965,100,1,1,,,Москва,м
"Ермоленко, В.","Волчья балка",Повесть,1965,15,,,,,Воронеж,м
"Ершов, Я.","Витя Коробков - пиорнер, партизан",Повесть,1964,100,,1,1,,Симферополь,м
"Ефетов, М.","Валдайские колокольцы",Повесть,1966,100,,,,,Москва,м
"Ефетов, М.","Граната в ушанке",Повесть,1964,100,1,,,,Москва,м
"Ефетов, М.","Морские камни",Повесть,1965,100,1,1,,,Москва,м
"Ефетов, М.","Света и Камила","Повести и рассказы",1966,300,1,,,,Москва,м
"Ефетов, М.","Тельняшка- моряцкая рубашка",Повесть,1965,150,1,,,,Москва,м
"Ефимов, В.","Гвардейский гусеныш",Рассказы,1966,75,1,,,,Волгоград,м
"Ефимов, И.","Высоко на крыше","Повести и рассказы",1964,30,,1,,,Ленинград,м
"Ефимов, И.","Таврический сад",Повесть,1966,75,,1,,,Ленинград,м
"Ефремов, И.","Сердце змеи","Повести и рассказы",1964,100,,1,1,,Москва,м
"Жариков, А.","Подвиги юных","Рассказы и очерки",1965,100,,1,,,Москва,м
"Жданов, Н.","Петроградская повесть",Повесть,1964,100,1,,,,Москва,м
"Железников, В.","Белые пароходы","Рассказы и повести",1964,75,,1,,,Москва,м
"Железников, В.","Каждый мечтает о собаке",Повесть,1966,75,,,,,Москва,м
