Лисогорский М.	712, 1204, 2015, 2120.
Лисснер Э. Э.	1871а
Литвинов Н.	2804.
Лифатов С.	2900.
Лобанев И.	2959, 2963.
Лобанев Н.	2960.
Логинов В. П.	2634.
Ломоносов Р. Г.	157, 1255.
Лопялло В.	1678, 1681.
Лопяло В.	2448.
Лосин В.	107, 324, 334, 489, 490, 558, 645, 881, 1238, 2215, 2331, 2506, 2657.
Лоскутова Т.	1413.
Лось Е.	1128.
Лохин С. Ф.	2675.
Лохманова М.	1602.
Луганский П. И.	2317, 2318.
Луканин В. М.	2729.
Лукашевич И.	2501.
Лупачев Б.	426, 1507.
Лурье А.	210, 212, 271, 379, 462, 566, 727, 748, 786, 1273, 1540, 1998, 2196, 2429, 2500, 2865.
Лухин В. Ф.	2637.
Лухин С. Ф.	2635, 2636, 2674.
Лыков В.	2181, 2500, 2893.
Лысогорский Ю.	4132.
Лышко Ю.	2651, 2817.
Любарский В.	317, 731.
Любимов В.	2640, 2641.
Лямин Н.	253, 434, 1060, 1157, 2497.
Маврина Т.	1751, 1767, 1885, 1922.
Магомедова С.	2201, 2280.
Мазрухо М.	1515, 1769, 2891.
Мазрухо Н. Я.	1522, 1523.
Мазурин Г.	109, 313, 515, 574, 619, 755, 756, 860, 927, 1008, 1009, 1850, 2310, 2500, 2583.
Майорова Л.	328, 329, 598, 916, 2294, 2640, 2641.
Майофис М.	130, 214, 468, 995, 1115, 1496, 1517, 1539, 2245, 2497.
Майсаар Э.	2145.
Макавеева Г. А.	319, 508, 509, 1567, 2089, 2641.
Макаренко Ю.	3019.
Макаров А.	1064, 1149, 2512.
Макарова Н.	1159.
