А. С.	4451, 6961.
Константинов В.	7649, 9887, 10686.
Контарович Л.	6774.
Корвин Ю.	8918.
Корнеев Ф.	1865.
Корняков Ю.	1928, 5072, 9149.
Коробов Н.	781, 2081.
Королев К.	3184.
Коротким А.	138, 10101, 10098.
Коротнова Н.	2462.
Коршиков.	90.
Коса.	297, 3753, 4802, 4803.
Коссак Д.	6377.
Костин С.	5761, 6394.
Костров Н.	6426.
Котляров.	4820, 4821.
Котов Н.	2475, 2985, 4035, 4109, 6782, 8291, 10624.
Кочергин Н.	9247, 9552, 10934.
Кравцов А.	1316, 5502, 6814, 9880.
Кравченко А.	2286, 3346, 4781, 4785, 6422, 6722, 10632.
Кравченко Н.	2438, 5224.
Крейцер Б.	9955.
Кремер.	5575.
Креминский.	9922.
Кремнев А.	4419.
Кривинская Е.	1863, 6712.
Криммер Э.	398, 506, 803, 1744, 2778, 3132, 4348, 4361, 4915, 4916, 4917, 4918, 4919, 5044, 5456, 5461, 5773, 5845, 6043, 7683, 7687, 9991.
Критская Л.	525.
Кронберг Б.	3880.
Кругликова Е.	846, 2690, 3208, 3514, 4933, 6587, 8938, 9301, 9394, 10187.
Крукзенко Г.	2847, 2850.
Кршиновская Т.	2185.
Крылова А.	1800, 4836, 7161.
Крюков Б.	700, 705, 882, 1845, 1862, 1864, 1867, 2150, 2152, 2874, 2875, 3176, 4487, 4499, 4502, 4504, 4831, 5016, 5017, 5018, 5019, 5020, 5021, 5022, 5202, 5999, 7737, 7790, 8313, 9267, 9268, 9714, 9740, 9762, 9765, 9783, 10035, 10169, 10197.
Нрюнов Н.	2045, 3475.
Кузанян П.	8198.
Кузнецов К.	13, 14, 106, 136, 474, 699, 728, 950, 1034, 1078, 1565, 1832, 2026, 2098, 2148, 2285, 2344, 2375, 2376, 2377, 3579, 3613, 3702, 4038, 4430, 4509, 4563, 4622, 5203, 5475, 5480, 5484, 6040, 6193, 6194, 6196, 6197, 6198, 6199, 6202, 6206, 6211, 6216, 6217, 6218, 6338, 6393, 6493, 6853, 6919, 7062, 7344, 7614, 7770, 7777, 8093, 8101, 8438, 9415, 9776, 9795, 1016, 10659, 10911, 10920, 10922.
Кукрыниксы.	204, 785, 1837, 2112, 2301, 2371, 2563, 4254, 4256, 7708, 9614.
Кулага.	5064.
Кулешов И.	2025, 3781, 4633, 4634, 5068, 5069, 10060.
Куликов А.	619, 906, 2922, 3618, 6213, 6215, 9189, 9653, 9761, 9772.
Купреянов Н.	69, 412, 473, 554, 723, 1109, 2016, 2624, 3189, 3270, 3410, 3763, 4488, 4495, 4497, 4965, 5099, 5103, 5439, 6171, 6721, 7242, 7247, 7282, 7288, 7640, 8512, 8910, 9726, 9748, 10640.
Куприянова С. А.	7794, 10431.
Курбатов.	4732.
Курдов В.	913, 921, 1004, 1485, 3043, 5132, 5465, 8105, 9888, 10915.
Курдюмов.	3325, 7920.
Кустодиев Б.	2622, 2790, 5141, 5142, 5436, 5445, 5524, 5980, 6099, 6113, 7138, 7144, 7154, 7898-а, 7907.
Кутателадзе А.	5143, 7655, 7691.
Кутателадзе Д.	5144.
Лагунов А.	4033, 9969.
Ладыгин С. П.	1073, 2485.
Ланцетти В.	8325, 9616.
Лаптев А.	11, 556, 702, 993, 998, 1110, 1690, 1882, 2105, 2348, 2508, 3405, 3469, 3516, 3563, 4011, 4376, 4475, 5208, 6174, 8203, 9162, 9716, 9822, 10008, 10422, 10425.
Лапшин Н.	489, 708, 912, 1123, 1376, 1432, 2182, 2442, 2618, 2620, 3224, 3716, 3802, 3805, 3809, 3812, 3813, 3820, 3824, 3826, 3827, 3846, 5060, 5209, 5322, 5739, 5989, 6263, 6972, 7291, 7296, 7334, 7658, 7671, 8310, 8684, 9271, 9322, 9354, 9370, 9387, 9884, 10406, 10453, 10490, 10502.
Лаховский А.	5236, 5237, 10331, 10397.
Лебедев Б.	3134.
Лебедев В. В.	867, 3134, 3564, 3692, 4361, 4366, 5265, 5266, 5267, 6269, .5270, 5319, 6037, 6056, 6074, 6075, 6101, 6109, 6114, 6120, 6124, 6128, 6132, 6137, 6180, 9453.
Лебедев Вс.	9307.
Лебедев И.	3142, 3448, 8896.
Лебедев К. В.	1667, 7077.
